,Datetime,RA,DEC,AZ,EL,alpha
0,2027-Jan-01 16:47,148.99127,13.58022,270.156991,43.374621,134.5953
1,2027-Jan-02 16:47,148.86494,13.63172,270.595778,42.341521,135.7473
2,2027-Jan-03 16:47,148.86273,13.63425,270.923092,41.412923,136.7693
3,2027-Jan-04 16:47,148.74893,13.67999,271.336915,40.39032,137.908
4,2027-Jan-05 16:48,148.70413,13.69934,271.768644,39.190404,138.9754
5,2027-Jan-06 16:48,148.63372,13.72744,272.134598,38.204572,140.0685
6,2027-Jan-07 16:48,148.53035,13.76947,272.52321,37.191526,141.1963
7,2027-Jan-08 16:48,148.50278,13.78061,272.847022,36.242206,142.2444
8,2027-Jan-09 16:49,148.35872,13.83785,273.333226,34.960032,143.4151
9,2027-Jan-10 16:49,148.3423,13.84476,273.641826,34.020859,144.4513
10,2027-Jan-11 16:49,148.19843,13.90102,274.04304,32.97507,145.6204
11,2027-Jan-12 16:49,148.15046,13.92038,274.370372,32.010315,146.6894
12,2027-Jan-13 16:49,148.04454,13.9611,274.736787,30.997204,147.8182
13,2027-Jan-14 16:49,147.93923,14.00256,275.101476,29.985462,148.9465
14,2027-Jan-15 16:49,147.88188,14.02405,275.428135,29.014031,150.0241
15,2027-Jan-16 16:49,147.72708,14.08409,275.823806,27.962087,151.2032
16,2027-Jan-17 16:49,147.6946,14.09597,276.130174,27.012635,152.2544
17,2027-Jan-18 16:49,147.52701,14.16004,276.530765,25.951346,153.446
18,2027-Jan-19 16:49,147.47651,14.17906,276.848435,24.988302,154.5154
19,2027-Jan-20 16:49,147.33861,14.23081,277.225361,23.9532,155.6752
20,2027-Jan-21 16:49,147.23589,14.2699,277.578332,22.94844,156.7983
21,2027-Jan-22 16:49,147.14889,14.30156,277.918885,21.957215,157.9042
22,2027-Jan-23 16:49,146.99066,14.36147,278.309127,20.908427,159.0841
23,2027-Jan-24 16:49,146.94065,14.37887,278.624803,19.949616,160.151
24,2027-Jan-25 16:49,146.75692,14.44767,279.031939,18.881926,161.3563
25,2027-Jan-26 16:49,146.70368,14.46646,279.351361,17.922512,162.4258
26,2027-Jan-27 16:49,146.53892,14.52707,279.746166,16.872653,163.6102
27,2027-Jan-28 16:48,146.44224,14.56246,280.02381,16.112148,164.7231
28,2027-Jan-29 16:48,146.32696,14.60359,280.386814,15.104849,165.8549
29,2027-Jan-30 16:48,146.1724,14.6606,280.778599,14.067246,167.0269
