Date,sunset_UTC,sunset_az,sunset_el,sunset_ra,sunset_dec,sunset_sidereal,sunrise_UTC,sunrise_az,sunrise_el,sunrise_ra,sunrise_dec,sunrise_sidereal
2030-01-01,2030-Jan-01 04:04,246.604588,-2.988379,281.71558,-22.99879,0.4259435221,2030-Jan-01 16:47,113.362804,-2.947279,282.30541,-22.95399,13.1774286921
2030-01-02,2030-Jan-02 04:05,246.727904,-3.072751,282.81967,-22.9125,0.5083684717,2030-Jan-02 16:47,113.240639,-3.016994,283.40801,-22.86372,13.2431415807
2030-01-03,2030-Jan-03 04:05,246.778892,-2.939774,283.92159,-22.81866,0.5740814377,2030-Jan-03 16:47,113.111836,-3.082954,284.50913,-22.76588,13.3088544756
2030-01-04,2030-Jan-04 04:06,246.917472,-3.021594,285.02273,-22.71719,0.6565064357,2030-Jan-04 16:48,113.056307,-2.928645,285.60938,-22.66043,13.391279122
2030-01-05,2030-Jan-05 04:07,247.063637,-3.102485,286.12215,-22.6082,0.738930679,2030-Jan-05 16:48,112.914424,-2.98657,286.70707,-22.54757,13.4569905496
2030-01-06,2030-Jan-06 04:07,247.137434,-2.965937,287.21896,-22.49184,0.8046416228,2030-Jan-06 16:48,112.76618,-3.04044,287.80284,-22.42729,13.5227009601
2030-01-07,2030-Jan-07 04:08,247.29885,-3.045198,288.31454,-22.368,0.8870638903,2030-Jan-07 16:48,112.611663,-3.090171,288.89655,-22.29965,13.5884104976
2030-01-08,2030-Jan-08 04:09,247.467828,-3.12399,289.408,-22.23681,0.9694854099,2030-Jan-08 16:49,112.530893,-2.918419,289.98885,-22.16463,13.6708317513
2030-01-09,2030-Jan-09 04:09,247.564327,-2.985114,290.49849,-22.09845,1.0351942085,2030-Jan-09 16:49,112.364075,-2.959372,291.07812,-22.02246,13.7365404626
2030-01-10,2030-Jan-10 04:10,247.748449,-3.063116,291.5874,-21.95279,1.1176152141,2030-Jan-10 16:49,112.191274,-2.995959,292.16499,-21.87313,13.8022492426
2030-01-11,2030-Jan-11 04:10,247.859868,-2.923258,292.67312,-21.8001,1.1833241191,2030-Jan-11 16:49,112.012586,-3.028118,293.2494,-21.71671,13.8679583441
2030-01-12,2030-Jan-12 04:11,248.059006,-3.000976,293.75708,-21.64025,1.2657457374,2030-Jan-12 16:49,111.828109,-3.055796,294.33123,-21.55329,13.9336679433
2030-01-13,2030-Jan-13 04:12,248.265556,-3.078887,294.83842,-21.47341,1.3481679083,2030-Jan-13 16:49,111.637939,-3.078941,295.41041,-21.38294,13.999378132
2030-01-14,2030-Jan-14 04:12,248.399182,-2.938488,295.91632,-21.2998,1.4138783844,2030-Jan-14 16:49,111.442176,-3.097509,296.48687,-21.20573,14.0650889177
2030-01-15,2030-Jan-15 04:13,248.620486,-3.016819,296.9922,-21.11925,1.4963017309,2030-Jan-15 16:49,111.24092,-3.111461,297.56051,-21.02176,14.130800223
2030-01-16,2030-Jan-16 04:14,248.849056,-3.09569,298.06524,-20.93196,1.5787255314,2030-Jan-16 16:49,111.034269,-3.120762,298.63128,-20.83111,14.1965118865
2030-01-17,2030-Jan-17 04:14,249.004433,-2.955681,299.13462,-20.73816,1.6444372852,2030-Jan-17 16:49,110.822325,-3.125381,299.69911,-20.63387,14.2622236684
2030-01-18,2030-Jan-18 04:15,249.247427,-3.035595,300.20178,-20.53767,1.7268613217,2030-Jan-18 16:49,110.605186,-3.125295,300.76394,-20.43012,14.3279352749
2030-01-19,2030-Jan-19 04:16,249.497508,-3.11635,301.26591,-20.33071,1.8092850372,2030-Jan-19 16:49,110.38295,-3.120485,301.82572,-20.21995,14.3936464086
2030-01-20,2030-Jan-20 04:16,249.674087,-2.977539,302.32623,-20.11751,1.8749958566,2030-Jan-20 16:49,110.155717,-3.110935,302.88441,-20.00345,14.4593568366
2030-01-21,2030-Jan-21 04:17,249.938202,-3.059871,303.38417,-19.89787,1.9574182008,2030-Jan-21 16:49,109.923582,-3.096634,303.93997,-19.78072,14.5250664591
2030-01-22,2030-Jan-22 04:17,250.128496,-2.922158,304.43823,-19.67218,2.0231274547,2030-Jan-22 16:49,109.686643,-3.077579,304.99237,-19.55184,14.5907753554
2030-01-23,2030-Jan-23 04:18,250.40636,-3.00637,305.48984,-19.44023,2.1055483841,2030-Jan-23 16:49,109.444997,-3.053764,306.04159,-19.3169,14.6564837876
2030-01-24,2030-Jan-24 04:19,250.690956,-3.091824,306.53826,-19.20226,2.1879690273,2030-Jan-24 16:49,109.198746,-3.025192,307.0876,-19.076,14.722192154
2030-01-25,2030-Jan-25 04:19,250.901375,-2.956395,307.58275,-18.95854,2.2536775208,2030-Jan-25 16:49,108.947992,-2.991864,308.13041,-18.82924,14.7879008982
2030-01-26,2030-Jan-26 04:20,251.199244,-3.044153,308.62474,-18.70883,2.3360988857,2030-Jan-26 16:49,108.692842,-2.953784,309.16999,-18.57672,14.8536103954
2030-01-27,2030-Jan-27 04:21,251.503593,-3.133366,309.66349,-18.4534,2.4185211286,2030-Jan-27 16:48,108.352711,-3.134156,310.2056,-18.31872,14.9026085478
2030-01-28,2030-Jan-28 04:21,251.733372,-3.000819,310.69827,-18.19255,2.484232041,2030-Jan-28 16:48,108.088996,-3.086933,311.23868,-18.05501,14.9683199149
2030-01-29,2030-Jan-29 04:22,252.050449,-3.092761,311.73048,-17.92602,2.5666560618,2030-Jan-29 16:48,107.821227,-3.034977,312.26846,-17.78587,15.0340319164
2030-01-30,2030-Jan-30 04:22,252.292586,-2.962383,312.75867,-17.65431,2.632368212,2030-Jan-30 16:48,107.549526,-2.978291,313.29491,-17.51143,15.0997440946
2030-01-31,2030-Jan-31 04:23,252.621995,-3.05735,313.78424,-17.37715,2.7147925914,2030-Jan-31 16:48,107.274018,-2.916884,314.31802,-17.23179,15.1654559415
2030-02-01,2030-Feb-01 04:23,252.876092,-2.92943,314.80573,-17.09505,2.7805041193,2030-Feb-01 16:47,106.913775,-3.075767,315.33705,-16.94727,15.2144547428
2030-02-02,2030-Feb-02 04:24,253.217427,-3.027717,315.82454,-16.80772,2.8629270666,2030-Feb-02 16:47,106.630885,-3.005279,316.35339,-16.6576,15.2801648827
2030-02-03,2030-Feb-03 04:25,253.564548,-3.12797,316.83994,-16.51549,2.945349033,2030-Feb-03 16:47,106.344554,-2.930098,317.36632,-16.3631,15.3458740825
2030-02-04,2030-Feb-04 04:25,253.835922,-3.004408,317.85122,-16.21868,3.0110578459,2030-Feb-04 16:46,105.973666,-3.076354,318.37513,-16.06408,15.3948702607
2030-02-05,2030-Feb-05 04:26,254.19434,-3.108367,318.85979,-15.917,3.0934783814,2030-Feb-05 16:46,105.680658,-2.992183,319.38124,-15.76025,15.4605783362
2030-02-06,2030-Feb-06 04:26,254.476632,-2.987894,319.86426,-15.61098,3.1591863872,2030-Feb-06 16:45,105.303249,-3.130253,320.38326,-15.45215,15.509574055
2030-02-07,2030-Feb-07 04:27,254.84591,-3.095755,320.86603,-15.30031,3.2416067821,2030-Feb-07 16:45,105.004014,-3.037205,321.3826,-15.13948,15.5752823039
2030-02-08,2030-Feb-08 04:27,255.138679,-2.978547,321.86373,-14.98555,3.3073152264,2030-Feb-08 16:45,104.701913,-2.939615,322.37857,-14.82256,15.6409909955
2030-02-09,2030-Feb-09 04:28,255.51836,-3.090452,322.85877,-14.66637,3.3897364802,2030-Feb-09 16:44,104.31548,-3.065439,323.37053,-14.50172,15.689987949
2030-02-10,2030-Feb-10 04:28,255.821145,-2.976635,323.84981,-14.34333,3.4554460208,2030-Feb-10 16:44,104.007806,-2.959227,324.35988,-14.17665,15.7556977885
2030-02-11,2030-Feb-11 04:29,256.21076,-3.092679,324.83825,-14.01611,3.5378684321,2030-Feb-11 16:43,103.615884,-3.07724,325.34527,-13.84791,15.8046958639
2030-02-12,2030-Feb-12 04:29,256.52309,-2.982334,325.82275,-13.68528,3.6035790257,2030-Feb-12 16:43,103.303054,-2.962625,326.32812,-13.51517,15.8704066437
2030-02-13,2030-Feb-13 04:30,256.922158,-3.10256,326.80472,-13.35049,3.6860022351,2030-Feb-13 16:42,102.90603,-3.073039,327.3071,-13.17899,15.9194053308
2030-02-14,2030-Feb-14 04:30,257.243551,-2.995726,327.78284,-13.01231,3.7517132314,2030-Feb-14 16:42,102.588442,-2.950276,328.28363,-12.83902,15.985116266
2030-02-15,2030-Feb-15 04:31,257.651584,-3.120132,328.75852,-12.6704,3.8341363341,2030-Feb-15 16:41,102.18669,-3.053338,329.25638,-12.49586,16.0341145604
2030-02-16,2030-Feb-16 04:31,257.981552,-3.0168,329.73045,-12.32534,3.8998466555,2030-Feb-16 16:41,101.86472,-2.92272,330.22678,-12.14913,16.0998245405
2030-02-17,2030-Feb-17 04:31,258.315543,-2.915058,330.69938,-11.97701,3.9655562582,2030-Feb-17 16:40,101.458589,-3.018713,331.19353,-11.79942,16.1488214305
2030-02-18,2030-Feb-18 04:32,258.736112,-3.045441,331.66604,-11.62526,4.0479773364,2030-Feb-18 16:39,101.050385,-3.111453,332.15739,-11.4466,16.1978175197
2030-02-19,2030-Feb-19 04:32,259.077946,-2.9471,332.62916,-11.2707,4.1136853885,2030-Feb-19 16:39,100.722399,-2.96981,333.11909,-11.09053,16.2635253085
2030-02-20,2030-Feb-20 04:33,259.506252,-3.081432,333.59017,-10.91293,4.1961053145,2030-Feb-20 16:38,100.310289,-3.05596,334.07738,-10.73181,16.3125205941
2030-02-21,2030-Feb-21 04:33,259.855439,-2.986365,334.5478,-10.55255,4.2618129729,2030-Feb-21 16:37,99.896327,-3.139097,335.03302,-10.37028,16.3615161531
2030-02-22,2030-Feb-22 04:34,260.290991,-3.124474,335.50349,-10.18917,4.3442334299,2030-Feb-22 16:37,99.563039,-2.987254,335.98675,-10.00582,16.4272247083
2030-02-23,2030-Feb-23 04:34,260.64703,-3.032536,336.45598,-9.8234,4.4099424384,2030-Feb-23 16:36,99.145633,-3.064325,336.93734,-9.63902,16.4762219057
2030-02-24,2030-Feb-24 04:34,261.006234,-2.94199,337.40602,-9.45511,4.4756524149,2030-Feb-24 16:35,98.726611,-3.138633,337.88552,-9.26976,16.5252200316
2030-02-25,2030-Feb-25 04:35,261.451699,-3.085294,338.35435,-9.08413,4.5580755212,2030-Feb-25 16:35,98.388772,-2.977452,338.83201,-8.89788,16.5909311334
2030-02-26,2030-Feb-26 04:35,261.816977,-2.997683,339.2997,-8.71112,4.6237868112,2030-Feb-26 16:34,97.966825,-3.046216,339.77557,-8.52402,16.6399301953
2030-02-27,2030-Feb-27 04:36,262.268395,-3.144353,340.24345,-8.33565,4.706210425,2030-Feb-27 16:33,97.543529,-3.112454,340.7169,-8.14804,16.6889290498
2030-02-28,2030-Feb-28 04:36,262.639214,-3.059569,341.18435,-7.95839,4.7719213151,2030-Feb-28 16:33,97.201966,-2.942773,341.65673,-7.76979,16.7546395948
2030-03-01,2030-Mar-01 04:36,263.012541,-2.976065,342.12312,-7.57918,4.83763145,2030-Mar-01 16:32,96.776308,-3.003961,342.5938,-7.38991,16.8036369881
2030-03-02,2030-Mar-02 04:37,263.47189,-3.127406,343.06046,-7.19787,4.9200529804,2030-Mar-02 16:31,96.349579,-3.062848,343.52883,-7.00827,16.8526334818
2030-03-03,2030-Mar-03 04:37,263.849969,-3.04659,343.99514,-6.81511,4.9857613602,2030-Mar-03 16:30,95.92187,-3.119503,344.46188,-6.62497,16.9016292129
2030-03-04,2030-Mar-04 04:37,264.23017,-2.966997,344.92787,-6.43075,5.0514690997,2030-Mar-04 16:30,95.576613,-2.939789,345.39366,-6.23987,16.9673367461
2030-03-05,2030-Mar-05 04:38,264.696277,-3.122712,345.85936,-6.04464,5.1338888029,2030-Mar-05 16:29,95.147282,-2.992031,346.32296,-5.8536,17.0163318138
2030-03-06,2030-Mar-06 04:38,265.080453,-3.045648,346.7884,-5.65743,5.199596205,2030-Mar-06 16:28,94.717238,-3.042273,347.25048,-5.46602,17.0653270271
2030-03-07,2030-Mar-07 04:38,265.466369,-2.969732,347.71569,-5.26895,5.2653038895,2030-Mar-07 16:27,94.286565,-3.090592,348.17629,-5.07724,17.1143226341
2030-03-08,2030-Mar-08 04:39,265.938076,-3.129461,348.64196,-4.87905,5.3477243561,2030-Mar-08 16:26,93.855346,-3.137067,349.10048,-4.68736,17.1633187876
2030-03-09,2030-Mar-09 04:39,266.327195,-3.055862,349.566,-4.48839,5.4134331121,2030-Mar-09 16:26,93.507454,-2.946898,350.02376,-4.29622,17.2290278393
2030-03-10,2030-Mar-10 04:39,266.71767,-2.983308,350.48851,-4.09679,5.4791424609,2030-Mar-10 16:25,93.075471,-2.989833,350.94491,-3.90448,17.2780251577
2030-03-11,2030-Mar-11 04:40,267.193821,-3.146602,351.41022,-3.70409,5.5615646259,2030-Mar-11 16:24,92.643184,-3.031191,351.86466,-3.51197,17.3270229301
2030-03-12,2030-Mar-12 04:40,267.586725,-3.076098,352.32993,-3.31096,5.6272748657,2030-Mar-12 16:23,92.21067,-3.07106,352.78308,-3.11879,17.376020983
2030-03-13,2030-Mar-13 04:40,267.980601,-3.006508,353.24834,-2.91721,5.6929852768,2030-Mar-13 16:22,91.778004,-3.109532,353.70026,-2.72506,17.4250190919
2030-03-14,2030-Mar-14 04:40,268.375323,-2.937787,354.16555,-2.52296,5.7586956147,2030-Mar-14 16:21,91.345256,-3.1467,354.61627,-2.33088,17.4740170001
2030-03-15,2030-Mar-15 04:41,268.85558,-3.104969,355.08227,-2.12803,5.8411179149,2030-Mar-15 16:21,90.99684,-2.947373,355.53183,-1.93606,17.5397267469
2030-03-16,2030-Mar-16 04:41,269.251707,-3.037865,355.99731,-1.73307,5.9068273368,2030-Mar-16 16:20,90.564232,-2.982199,356.44575,-1.54127,17.5887235221
2030-03-17,2030-Mar-17 04:41,269.648301,-2.971461,356.91139,-1.33792,5.972536014,2030-Mar-17 16:19,90.131746,-3.01603,357.35878,-1.14633,17.637719524
2030-03-18,2030-Mar-18 04:42,270.130328,-3.140832,357.82526,-0.94238,6.0549562312,2030-Mar-18 16:18,89.699441,-3.04897,358.27099,-0.75132,17.6867148387
2030-03-19,2030-Mar-19 04:42,270.527572,-3.075634,358.73773,-0.5471,6.1206635953,2030-Mar-19 16:17,89.267372,-3.081127,359.1825,-0.35635,17.7357097751
2030-03-20,2030-Mar-20 04:42,270.924915,-3.010929,359.64956,-0.15191,6.186370816,2030-Mar-20 16:16,88.835591,-3.112609,0.09343,0.0385,17.784704816
2030-03-21,2030-Mar-21 04:42,271.322235,-2.946646,0.56086,0.24312,6.2520784153,2030-Mar-21 16:15,88.40415,-3.143528,1.00387,0.43314,17.8337004743
2030-03-22,2030-Mar-22 04:43,271.80486,-3.117738,1.47237,0.63816,6.3344991466,2030-Mar-22 16:15,88.058088,-2.938814,1.91459,0.82775,17.8994094061
2030-03-23,2030-Mar-23 04:43,272.201846,-3.054028,2.38293,1.03258,6.4002086341,2030-Mar-23 16:14,87.627587,-2.969006,2.8244,1.22169,17.9484070867
2030-03-24,2030-Mar-24 04:43,272.598438,-2.99052,3.29328,1.42655,6.4659190826,2030-Mar-24 16:13,87.197595,-2.998976,3.73405,1.61513,17.9974055821
2030-03-25,2030-Mar-25 04:43,272.994508,-2.927155,4.20351,1.81997,6.5316301356,2030-Mar-25 16:12,86.768176,-3.028829,4.64361,2.00799,18.0464044547
2030-03-26,2030-Mar-26 04:44,273.475732,-3.098594,5.11433,2.21302,6.6140536049,2030-Mar-26 16:11,86.339401,-3.058666,5.55318,2.40014,18.0954032092
2030-03-27,2030-Mar-27 04:44,273.870446,-3.035257,6.02455,2.60505,6.6797644209,2030-Mar-27 16:10,85.911338,-3.088582,6.46282,2.7915,18.1444014259
2030-03-28,2030-Mar-28 04:44,274.264254,-2.971905,6.93489,2.99622,6.7454745392,2030-Mar-28 16:09,85.48406,-3.11867,7.3726,3.18196,18.1933988454
2030-03-29,2030-Mar-29 04:45,274.743117,-3.142846,7.84606,3.3867,6.827896097,2030-Mar-29 16:09,85.143261,-2.914556,8.28325,3.57167,18.2591076957
2030-03-30,2030-Mar-30 04:45,275.134804,-3.079216,8.75685,3.77585,6.8936045243,2030-Mar-30 16:08,84.717878,-2.945408,9.19356,3.96001,18.308103486
2030-03-31,2030-Mar-31 04:45,275.525213,-3.015453,9.66798,4.16383,6.9593122986,2030-Mar-31 16:07,84.293502,-2.976703,10.10424,4.34714,18.3570987468
2030-04-01,2030-Apr-01 04:45,275.914224,-2.951528,10.57952,4.55055,7.0250196959,2030-Apr-01 16:06,83.870206,-3.008523,11.01537,4.73295,18.4060937775
2030-04-02,2030-Apr-02 04:46,276.388144,-3.121108,11.49217,4.93617,7.1074393242,2030-Apr-02 16:05,83.448062,-3.040947,11.927,5.11735,18.4550888851
2030-04-03,2030-Apr-03 04:46,276.774055,-3.056593,12.40474,5.32005,7.1731468804,2030-Apr-03 16:04,83.027144,-3.074055,12.83923,5.50024,18.5040843339
2030-04-04,2030-Apr-04 04:46,277.158211,-2.991824,13.31793,5.70236,7.238854888,2030-Apr-04 16:03,82.607523,-3.107925,13.7521,5.88151,18.5530803092
2030-04-05,2030-Apr-05 04:46,277.540496,-2.926775,14.23181,6.083,7.3045634816,2030-Apr-05 16:02,82.189271,-3.142635,14.66568,6.26107,18.6020768977
2030-04-06,2030-Apr-06 04:47,278.007545,-3.094289,15.14707,6.46214,7.3869849927,2030-Apr-06 16:02,81.858813,-2.945342,15.58068,6.63908,18.6677863858
2030-04-07,2030-Apr-07 04:47,278.385781,-3.028387,16.06251,6.83915,7.4526947661,2030-Apr-07 16:01,81.443623,-2.982216,16.49589,7.01492,18.716784081
2030-04-08,2030-Apr-08 04:47,278.761797,-2.962124,16.97882,7.21419,7.5184049663,2030-Apr-08 16:00,81.030015,-3.020176,17.412,7.38875,18.7657821198
2030-04-09,2030-Apr-09 04:48,279.222504,-3.1276,17.89671,7.58743,7.6008277032,2030-Apr-09 15:59,80.618056,-3.059299,18.32908,7.76047,18.8147802934
2030-04-10,2030-Apr-10 04:48,279.59377,-3.060295,18.81497,7.95825,7.6665381509,2030-Apr-10 15:58,80.207813,-3.099664,19.24718,8.12999,18.8637783637
2030-04-11,2030-Apr-11 04:48,279.962472,-2.992551,19.73428,8.32681,7.7322483653,2030-Apr-11 15:57,79.799352,-3.141349,20.16637,8.49722,18.9127760914
2030-04-12,2030-Apr-12 04:48,280.328498,-2.924343,20.65472,8.69302,7.7979581196,2030-Apr-12 15:57,79.479619,-2.953109,21.08736,8.86231,18.9784855686
2030-04-13,2030-Apr-13 04:49,280.779053,-3.086664,21.57699,9.05704,7.8803795404,2030-Apr-13 15:56,79.075037,-2.997985,22.00892,9.22465,19.0274820699
2030-04-14,2030-Apr-14 04:49,281.139414,-3.017173,22.49987,9.41827,7.9460879651,2030-Apr-14 15:55,78.672425,-3.044432,22.93177,9.58442,19.076477894
2030-04-15,2030-Apr-15 04:49,281.496765,-2.947132,23.42408,9.77687,8.011795785,2030-Apr-15 15:54,78.271839,-3.092533,23.85598,9.94153,19.1254732246
2030-04-16,2030-Apr-16 04:50,281.938568,-3.106593,24.35035,10.133,8.0942155921,2030-Apr-16 15:54,77.960511,-2.912279,24.78229,10.29613,19.1911807447
2030-04-17,2030-Apr-17 04:50,282.289588,-3.035055,25.27747,10.48608,8.1599232679,2030-Apr-17 15:53,77.564261,-2.964292,25.70948,10.64765,19.2401763817
2030-04-18,2030-Apr-18 04:50,282.637276,-2.962861,26.20617,10.83628,8.225631639,2030-Apr-18 15:52,77.170186,-3.018227,26.6383,10.99625,19.2891729202
2030-04-19,2030-Apr-19 04:51,283.069341,-3.119052,27.13718,11.18375,8.3080533876,2030-Apr-19 15:51,76.778334,-3.074172,27.56882,11.34185,19.3381706113
2030-04-20,2030-Apr-20 04:51,283.410054,-3.045118,28.0693,11.52793,8.373763981,2030-Apr-20 15:50,76.388751,-3.132212,28.50111,11.68436,19.3871693487
2030-04-21,2030-Apr-21 04:51,283.747115,-2.970425,29.00324,11.86897,8.4394754217,2030-Apr-21 15:50,76.089124,-2.964076,29.43591,12.02394,19.4528810065
2030-04-22,2030-Apr-22 04:52,284.168456,-3.122968,29.93971,12.20702,8.5218994769,2030-Apr-22 15:49,75.70439,-3.026942,30.37196,12.36001,19.5018804118
2030-04-23,2030-Apr-23 04:52,284.497881,-3.046363,30.87747,12.54151,8.5876109804,2030-Apr-23 15:48,75.322102,-3.092149,31.30998,12.69272,19.5508793476
2030-04-24,2030-Apr-24 04:52,284.823329,-2.968953,31.81723,12.87258,8.6533218074,2030-Apr-24 15:48,75.030154,-2.932503,32.25066,13.02221,19.616589785
2030-04-25,2030-Apr-25 04:53,285.232942,-3.117649,32.75967,13.20037,8.7357440523,2030-Apr-25 15:47,74.653109,-3.002998,33.19274,13.34792,19.6655870249
2030-04-26,2030-Apr-26 04:53,285.550101,-3.038291,33.70355,13.52433,8.8014531283,2030-Apr-26 15:46,74.278711,-3.076029,34.13692,13.66998,19.7145834578
2030-04-27,2030-Apr-27 04:53,285.862975,-2.958145,34.64954,13.84458,8.8671615068,2030-Apr-27 15:46,73.995074,-2.925529,35.0839,13.98852,19.7802916058
2030-04-28,2030-Apr-28 04:54,286.259901,-3.102996,35.59836,14.16126,8.9495817562,2030-Apr-28 15:45,73.626345,-3.004208,36.03239,14.30301,19.8292871693
2030-04-29,2030-Apr-29 04:54,286.563883,-3.020978,36.54872,14.47383,9.0152895911,2030-Apr-29 15:44,73.260474,-3.085573,36.98309,14.61358,19.8782827527
2030-04-30,2030-Apr-30 04:54,286.863295,-2.938235,37.5013,14.78242,9.0809976015,2030-Apr-30 15:44,72.985814,-2.944734,37.93669,14.92035,19.943990924
2030-05-01,2030-May-01 04:55,287.246648,-3.079399,38.45679,15.08715,9.163418321,2030-May-01 15:43,72.626048,-3.032028,38.89188,15.22279,19.9929872896
2030-05-02,2030-May-02 04:55,287.53661,-2.994943,39.41389,15.38751,9.2291273083,2030-May-02 15:42,72.269353,-3.122126,39.84934,15.52104,20.041984258
2030-05-03,2030-May-03 04:55,287.821739,-2.90986,40.37327,15.68362,9.29483692,2030-May-03 15:42,72.004353,-2.991351,40.80975,15.81521,20.1076941437
2030-05-04,2030-May-04 04:56,288.190692,-3.047611,41.33561,15.97559,9.3772594187,2030-May-04 15:41,71.654206,-3.087603,41.77179,16.1048,20.1566922742
2030-05-05,2030-May-05 04:56,288.465848,-2.961034,42.29958,16.26293,9.4429700875,2030-May-05 15:41,71.395995,-2.963838,42.73679,16.39013,20.2224030967
2030-05-06,2030-May-06 04:57,288.824849,-3.096551,43.26652,16.54595,9.525393342,2030-May-06 15:40,71.052694,-3.066374,43.70343,16.67071,20.2714018104
2030-05-07,2030-May-07 04:57,289.0897,-3.008655,44.2351,16.82417,9.5911043616,2030-May-07 15:40,70.801581,-2.949746,44.67304,16.94684,20.3371127819
2030-05-08,2030-May-08 04:57,289.349312,-2.920344,45.20598,17.0977,9.6568152078,2030-May-08 15:39,70.465423,-3.058682,45.64428,17.21806,20.3861111774
2030-05-09,2030-May-09 04:58,289.692642,-3.053091,46.17984,17.36663,9.739237956,2030-May-09 15:39,70.221716,-2.949309,46.61849,17.48465,20.4518213901
2030-05-10,2030-May-10 04:58,289.941477,-2.963745,47.15532,17.63052,9.8049478365,2030-May-10 15:38,69.892989,-3.064752,47.59431,17.74617,20.5008186865
