,TIC ID,TOI,RA,Dec,RA_deg,Dec_deg,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date,Spectra?,NIRC2?,Best imaging contrast
73454,194234471,6192.01,00:06:26.96,37:51:18.99,1.6123333333333332,37.855275,PC,3,4,3,3,3,4,4,4490.0,3.563037,9.4e-06,11.51,0.023,10.986,0.022,10.892,0.023,1.323,3.4,2023-09-29,False,False,5.1
58163,83148519,4001.01,00:10:06.95,64:34:21.24,2.5289583333333328,64.57256666666666,PC,3,4,3,3,4,4,4,5696.0,4.8982659,2e-05,11.029,0.021,10.719,0.023,10.649,0.02,1.073,5.629,2021-11-11,True,False,6.718
73476,327126871,6336.01,00:13:36.95,56:11:04.77,3.4039583333333328,56.18465833333333,PC,3,4,3,3,3,4,4,8796.0,39.810528,0.000317,11.142,0.021,11.037,0.017,10.986,0.017,0.924,3.8,2023-08-30,True,False,6.2
5586,211438925,194.01,00:20:38.53,-23:56:08.84,5.160541666666666,-23.93578888888889,KP,3,5,5,3,5,4,5,5940.0,4.8996461,1e-06,9.701,0.021,9.417,0.021,9.39,0.024,0.2653,1.0,2020-10-31,True,False,6.05
58139,403340402,3993.01,00:21:45.12,59:06:20.72,5.437999999999999,59.105755555555554,PC,3,4,4,3,3,4,4,6424.0,2.2237066530678,0.0001775203,10.912,0.023,10.634,0.029,10.586,0.021,0.136,1.1,2021-08-04,True,False,6.11
58135,403347341,3992.01,00:22:30.1,57:52:23.79,5.625416666666665,57.873275,PC,3,4,3,3,3,4,4,5324.0,6.397886,1.05e-05,11.642,0.023,11.351,0.032,11.272,0.019,0.168,0.9,2021-08-04,True,False,5.5
75576,419524589,7131.01,00:33:37.52,63:16:02.44,8.406333333333333,63.26734444444445,PC,3,4,3,3,3,4,4,,5.3295884,2.27e-05,12.027,0.027,11.877,0.032,11.837,0.024,0.076,1.8,2025-11-09,False,False,4.4
73466,283845022,6329.01,00:33:56.35,60:05:03.59,8.484791666666666,60.08433055555556,PC,3,4,3,3,3,4,4,5675.0,15.2334037,5.67e-05,11.773,0.023,11.455,0.032,11.333,0.02,0.085,0.6,2024-07-29,False,False,4.7
58114,452938965,3988.01,00:34:02.02,58:50:39.45,8.508416666666665,58.84429166666667,PC,3,4,3,3,3,4,4,6334.0,2.8744227,7e-06,11.44,0.023,11.165,0.028,11.069,0.026,1.0,5.2,2021-08-02,True,False,6.0
75580,378860702,7152.01,00:40:50.97,71:21:53.22,10.212375,71.36478333333332,PC,3,4,3,3,3,4,4,,3.1875721,4.9e-06,11.492,0.031,11.3,0.035,11.204,0.028,1.212,1.72,2025-12-09,True,False,4.8
36357,53875855,1491.01,00:58:36.71,34:08:52.95,14.65295833333333,34.148041666666664,PC,3,4,4,3,4,4,4,5899.0,4.4902667,1.2e-05,9.743,0.022,9.484,0.022,9.354,0.017,0.75,4.7,2020-12-02,True,False,7.824
57443,414922696,3624.01,01:00:46.51,15:09:58.19,15.193791666666666,15.166163888888889,PC,3,4,4,3,3,4,4,6065.0,7.6460931,3.46e-05,11.21,0.024,10.9,0.032,10.872,0.02,1.225,4.5,2021-10-28,True,False,5.5
50258,53709089,2035.01,01:10:56.81,61:05:31.59,17.736708333333333,61.092108333333336,PC,3,4,3,3,4,4,4,9387.0,8.51226,0.00054,8.775,0.021,8.735,0.017,8.701,0.016,0.419,0.8,2020-10-21,True,False,7.044
59661,388816604,4540.01,01:14:21.22,01:00:17.27,18.588416666666664,1.0047972222222221,PC,3,4,3,5,4,5,5,5328.0,2.5048178,3.8e-06,12.218,0.021,11.763,0.03,11.697,0.022,0.126,1.93,2023-08-05,True,True,7.271
36713,241040309,1559.01,01:22:52.18,48:57:19.31,20.717416666666665,48.95536388888889,PC,3,4,3,3,4,4,4,8455.3,3.4648951,6.9e-06,10.104,0.022,10.056,0.02,10.03,0.022,0.04,2.35,2022-09-14,True,True,7.5
58179,397924314,4004.01,01:31:53.64,66:49:09.6,22.973499999999994,66.81933333333333,PC,3,4,4,3,3,4,4,4930.3,5.3798996,2.22e-05,11.952,0.026,11.561,0.032,11.482,0.026,0.094,0.0,2025-12-09,True,False,
51315,395393265,2152.01,01:45:21.35,77:47:24.44,26.33895833333333,77.79012222222222,CP,3,4,4,3,4,4,4,6688.0,3.3772835406158,0.00014720649,9.973,0.026,9.669,0.03,9.597,0.024,0.762,4.5,2020-10-28,True,False,6.7
68839,257922326,5326.01,01:45:48.88,10:15:12.24,26.453666666666663,10.2534,PC,3,4,3,3,3,4,4,6312.9,3.133469,0.0002958,11.13,0.026,10.868,0.025,10.839,0.026,0.1208,0.4,2023-01-04,True,False,5.3
54520,293435336,2403.01,01:46:31.9,02:42:01.4,26.632916666666663,2.700388888888889,KP,5,5,5,5,5,5,5,6278.2,1.8098811293497,1.5118850889365e-07,8.541,0.024,8.331,0.038,8.243,0.031,0.428,4.11,2018-08-28,True,False,6.75
36815,67418624,1598.01,01:54:38.48,37:00:18.15,28.66033333333333,37.00504166666666,PC,3,5,5,3,4,4,4,6011.0,1.1020719,2.6e-06,8.1,0.026,7.827,0.023,7.742,0.024,1.071,4.86,2020-12-06,True,False,7.8
36765,241076290,1560.01,01:56:07.89,52:35:07.74,29.032874999999997,52.585483333333336,PC,3,4,4,3,4,4,4,9035.0,0.2580006471362,8.668655e-06,9.911,0.021,9.899,0.019,9.85,0.016,1.496,3.7,2020-10-29,True,True,6.88
5589,268766053,272.01,02:07:38.2,-20:39:42.63,31.90916666666666,-20.661841666666664,KP,5,5,5,5,5,5,5,4953.0,3.3098457547871,1.5323723e-06,10.959,0.026,10.474,0.022,10.39,0.023,0.032,2.14,2020-12-27,True,False,6.66
73461,292469572,6289.01,02:10:28.73,43:58:30.11,32.61970833333333,43.975030555555556,PC,3,4,3,3,3,4,4,5620.2,3.7077543,7.9e-06,12.505,0.023,12.159,0.024,12.077,0.02,0.848,3.9,2024-08-18,False,False,5.1
57664,250803548,3687.01,02:16:04.39,53:06:30.01,34.01829166666666,53.108336111111115,PC,3,4,4,3,3,4,4,5854.0,4.4543921,1.28e-05,12.74,0.025,12.455,0.024,12.4,0.024,0.41,1.63,2022-09-13,True,False,5.41
73127,250839071,6040.01,02:17:47.03,53:48:27.3,34.44595833333333,53.80758333333333,PC,3,4,4,3,4,4,4,6558.7,3.4926045,2.3e-06,9.322,0.02,9.11,0.021,9.055,0.018,0.248,1.12,2025-10-01,True,True,6.754
7580,420049884,462.01,02:25:06.35,01:19:24.78,36.27645833333332,1.32355,PC,1,4,1,4,4,4,4,5205.0,4.1074291138134,8.442139e-06,10.023,0.023,9.699,0.022,9.629,0.019,0.167,0.3,2019-07-16,True,False,6.947
59730,21130820,4548.01,02:25:21.87,25:31:50.44,36.34112499999999,25.530677777777775,PC,3,4,3,3,4,4,4,5970.5,4.6003967,9.6e-06,9.341,0.02,9.064,0.022,8.989,0.021,0.408,1.343,2021-11-11,True,False,6.8
73125,285466025,6032.01,02:27:08.32,32:52:37.04,36.784666666666666,32.876955555555554,PC,3,4,3,3,2,4,4,6083.0,7.3723906253761,0.0019647216,7.439,0.03,7.175,0.021,7.119,0.018,1.135,5.822,2023-08-29,True,False,7.6
6182,120896927,402.01,02:27:28.29,-27:38:10.02,36.867875,-27.636116666666666,CP,4,5,5,5,4,4,4,5175.2,4.7559995197372,6.4461576419e-06,7.553,0.019,7.215,0.034,7.044,0.018,1.4388,5.2,2019-07-16,True,True,7.6
6662,120896927,402.02,02:27:28.29,-27:38:10.02,36.867875,-27.636116666666666,CP,1,5,5,1,4,4,4,5175.2,17.179667273347,2.82918236914e-05,7.553,0.019,7.215,0.034,7.044,0.018,1.4388,5.2,2019-07-16,True,True,7.6
38795,422923265,1641.01,02:40:58.94,42:52:16.49,40.24558333333332,42.87124722222222,PC,3,4,3,3,4,4,4,9898.0,1.8646725,3.3e-06,9.57,0.027,9.524,0.029,9.571,0.02,0.191,2.59,2021-12-21,True,False,7.1
55755,318812447,2634.01,02:44:08.77,03:54:36.84,41.036541666666665,3.9102333333333332,PC,3,5,5,3,4,4,4,5349.16,,,10.161,0.022,9.786,0.022,9.634,0.019,0.177,1.144,2021-11-11,True,False,6.976
57782,280254984,3758.01,02:45:17.67,69:06:22.53,41.32362499999999,69.10625833333333,PC,3,4,3,3,3,4,4,5868.0,3.4177514,7.1e-06,11.534,0.026,11.152,0.028,10.991,0.026,1.205,3.35,2025-10-01,True,False,5.58
57658,302470965,3676.01,02:47:47.07,49:24:37.57,41.946124999999995,49.41043611111111,PC,3,4,3,3,2,4,4,4828.4,1.9341469,4.1e-06,12.396,0.025,11.979,0.029,11.907,0.023,0.222,0.267,2021-11-11,False,False,5.469
75721,259381479,7451.01,02:53:35.88,46:10:28.42,43.399499999999996,46.17456111111111,PC,3,4,3,3,4,4,4,9225.0,3.9461778,1.07e-05,10.771,0.023,10.658,0.032,10.627,0.02,0.28,1.0,2026-01-29,True,False,5.693
