# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Tue Dec 16 12:44:13 2025
# Search parameters: Dec min = -50.; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Teff (TOI),log(g) (TOI),Stellar Radius (TOI),TESS mag,J mag,H mag,K mag,Stellar Companion Separation
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.3
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.285
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.296
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.277
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.275
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.2863
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.292
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.2894
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.276
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.28
290131778,123.01,21:18:47.9,-26:36:58.95,CP,6188,4.27166,2.62,7.87598,7.232,7.048,6.959,1.281
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.116
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.125
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.116
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.202
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.1206
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.1038
29857954,172.01,21:06:31.65,-26:41:34.31,CP,5801.8,4.32,1.79,10.7379,10.135,9.825,9.722,1.1021
211438925,194.01,00:20:38.53,-23:56:08.84,KP,5940,4.23158,1.5,10.248,9.701,9.417,9.39,0.2653
154618248,245.01,23:03:07,-33:30:01.7,PC,6208,4.438,1.46,8.5509,7.88,7.63,7.588,1.153
154618248,245.01,23:03:07,-33:30:01.7,PC,6208,4.438,1.46,8.5509,7.88,7.63,7.588,0.986
122612091,264.01,02:44:09.62,-30:10:08.68,KP,6250,3.98811,2.66,10.4614,9.964,9.724,9.617,0.654
122612091,264.01,02:44:09.62,-30:10:08.68,KP,6250,3.98811,2.66,10.4614,9.964,9.724,9.617,0.655
122612091,264.01,02:44:09.62,-30:10:08.68,KP,6250,3.98811,2.66,10.4614,9.964,9.724,9.617,0.6413
268766053,272.01,02:07:38.2,-20:39:42.63,KP,4953,4.55653,0.85861897468567,11.7617,10.959,10.474,10.39,0.032
2758565,287.01,23:45:07.93,-17:26:57.35,PC,5807,4.32,1.1700899600983,12.3611,11.701,11.331,11.249,0.155
2758565,287.01,23:45:07.93,-17:26:57.35,PC,5807,4.32,1.1700899600983,12.3611,11.701,11.331,11.249,0.141
2758565,287.01,23:45:07.93,-17:26:57.35,PC,5807,4.32,1.1700899600983,12.3611,11.701,11.331,11.249,0.14
327952677,295.01,23:56:22.05,-13:16:17.9,KP,5864,4.26,1.2707099914551,12.141,11.522,11.186,11.137,0.9838
327952677,295.01,23:56:22.05,-13:16:17.9,KP,5864,4.26,1.2707099914551,12.141,11.522,11.186,11.137,0.972
327952677,295.01,23:56:22.05,-13:16:17.9,KP,5864,4.26,1.2707099914551,12.141,11.522,11.186,11.137,0.892
