# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jul 03 15:41:36 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,TESS mag,J mag,H mag,K mag,Stellar Companion Filter Name,Stellar Companion Filter,Stellar Companion notes,Stellar Companion user,Stellar Companion Separation,Stellar Companion Separation Unc.,Stellar Companion Position angle,Stellar Companion Position angle Unc.,Stellar Companion Delta mag,Stellar Companion Delta mag Unc.,Stellar Companion Observation date,Stellar Companion Tag
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,Brgamma,,,ciardi,1.281,0.00141,297,,1.7033,0.01077,2018-09-18,769
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,Hcont,,,ciardi,1.28,0.00141,298,,1.6358,0.00926,2018-09-18,769
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,Jcont,,,ciardi,1.276,0.00141,298,,1.7204,0.01113,2018-09-18,769
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.2894,,294.6,,1.8,,2018-09-25,15973
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,V,547 (99) nm,Ziegler et al. (2020),ziegler,1.292,,294.6,,1.8,,2018-09-25,15974
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.2863,,294.7,,1.8,,2019-05-18,16052
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,562,562 (54) nm,,furlan,1.275,,294.4,,2.01,,2021-06-27,98810
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,832,832 (40) nm,,furlan,1.277,,294.9,,1.94,,2021-06-27,98810
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,562,562 (44) nm,NESSI@WIYN,everett,1.296,,295.063,,2.24,,2019-06-19,417558
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,832,832 (40) nm,NESSI@WIYN,everett,1.285,,294.96,,1.96,,2019-06-19,417558
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,7.87598,7.232,7.048,6.959,G,,Gaia resolved companion (El-Badry+ 2021 chance align < 1%, compiled in Polanski + Clark 2025). DR3 Source ID: 6790773586276283648,polanski,1.3,,294.2,,1.77,0.03,2016-01-01,459378
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.1021,,319.1,,4.9,,2018-10-22,15962
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.1038,,319,,4.9,,2018-09-25,15972
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.1206,,319,,3.5,,2019-05-18,16051
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,832,832 (40) nm,uncertain fit,furlan,1.202,,322.9,,4.96,,2021-06-27,98808
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,562,562 (54) nm,uncertain fit,furlan,1.116,,319.3,,5.2,,2019-07-16,102024
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,832,832 (40) nm,,furlan,1.125,,321.9,,5.36,,2019-07-16,102024
29857954,172.01,21:06:31.65,-26:41:34.31,CP,4,5,5,5,4,5,4,10.7379,10.135,9.825,9.722,832,832 (40) nm,NESSI@WIYN,everett,1.116,,320.586,,4.81,,2019-06-19,417561
211438925,194.01,00:20:38.53,-23:56:08.84,KP,3,5,5,3,5,4,5,10.248,9.701,9.417,9.39,I,879 (289) nm,,ziegler,0.2653,,216.2,,1,,2020-10-31,60980
268766053,272.01,02:07:38.2,-20:39:42.63,KP,5,5,5,5,5,5,5,11.7617,10.959,10.474,10.39,832,832 (40) nm,180 degree ambiguity in PA, uncertain fit,furlan,0.032,,312,,2.14,,2020-12-27,94255
2758565,287.01,23:45:07.93,-17:26:57.35,PC,3,4,4,3,4,4,4,12.3611,11.701,11.331,11.249,832,832 (40) nm,,furlan,0.14,,126,,3.71,,2019-07-17,102026
2758565,287.01,23:45:07.93,-17:26:57.35,PC,3,4,4,3,4,4,4,12.3611,11.701,11.331,11.249,832,832 (40) nm,,furlan,0.141,,125.8,,4.22,,2019-10-12,17151
2758565,287.01,23:45:07.93,-17:26:57.35,PC,3,4,4,3,4,4,4,12.3611,11.701,11.331,11.249,832,832 (40) nm,uncertain fit,deveny,0.155,,125.6,,4.89,,2024-09-21,446088
327952677,295.01,23:56:22.05,-13:16:17.9,KP,4,5,5,5,5,4,5,12.141,11.522,11.186,11.137,Hcont,,,ciardi,0.892,0.00354,168,,2.72,0.01314,2018-12-23,1524
327952677,295.01,23:56:22.05,-13:16:17.9,KP,4,5,5,5,5,4,5,12.141,11.522,11.186,11.137,Brgamma,,,ciardi,0.972,0.00354,154,,2.55,0.01302,2018-12-23,1524
327952677,295.01,23:56:22.05,-13:16:17.9,KP,4,5,5,5,5,4,5,12.141,11.522,11.186,11.137,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.9838,,151.8,,4.1,,2019-07-14,16109
228507250,309.01,23:52:09.5,-15:48:03.78,PC,3,4,4,3,4,4,4,12.4154,11.687,11.295,11.219,Hcont,,,ciardi,0.319,0.00354,80,,0.4754,0.01092,2019-07-14,5025
228507250,309.01,23:52:09.5,-15:48:03.78,PC,3,4,4,3,4,4,4,12.4154,11.687,11.295,11.219,Brgamma,,,ciardi,0.322,0.00354,79,,0.4928,0.01021,2019-07-14,5025
228507250,309.01,23:52:09.5,-15:48:03.78,PC,3,4,4,3,4,4,4,12.4154,11.687,11.295,11.219,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.3266,,77.9,,0.9,,2019-07-14,16107
228507250,309.01,23:52:09.5,-15:48:03.78,PC,3,4,4,3,4,4,4,12.4154,11.687,11.295,11.219,562,562 (54) nm,uncertain fit,furlan,0.328,,77.6,,1.27,,2019-10-09,17115
228507250,309.01,23:52:09.5,-15:48:03.78,PC,3,4,4,3,4,4,4,12.4154,11.687,11.295,11.219,832,832 (40) nm,,furlan,0.329,,77.7,,1.03,,2019-10-09,17115
