# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Mon Dec 08 14:46:33 2025
# Search parameters: Dec min = -20:00:00; TFOPWG Disposition = CP/KP/PC; Stellar companion filter exists; Stellar companion user exists; Stellar companion separation max = 1.0; Stellar companion separation exists; Stellar companion position angle exists; Stellar companion delta mag exists; Stellar companion date exists


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Planet Radius (TOI),TESS mag,H mag,K mag,Stellar Companion Filter Name,Stellar Companion user,Stellar Companion Separation,Stellar Companion Position angle,Stellar Companion Delta mag,Stellar Companion Observation date,Stellar Companion Tag
2758565,287.01,23:45:07.93,-17:26:57.35,PC,17.66514951413,12.3611,11.331,11.249,832,deveny,0.155,125.6,4.89,2024-09-21,446088
2758565,287.01,23:45:07.93,-17:26:57.35,PC,17.66514951413,12.3611,11.331,11.249,832,furlan,0.141,125.8,4.22,2019-10-12,17151
2758565,287.01,23:45:07.93,-17:26:57.35,PC,17.66514951413,12.3611,11.331,11.249,832,furlan,0.14,126,3.71,2019-07-17,102026
327952677,295.01,23:56:22.05,-13:16:17.9,KP,14.403968199869,12.141,11.186,11.137,I,ziegler,0.9838,151.8,4.1,2019-07-14,16109
327952677,295.01,23:56:22.05,-13:16:17.9,KP,14.403968199869,12.141,11.186,11.137,Brgamma,ciardi,0.972,154,2.55,2018-12-23,1524
327952677,295.01,23:56:22.05,-13:16:17.9,KP,14.403968199869,12.141,11.186,11.137,Hcont,ciardi,0.892,168,2.72,2018-12-23,1524
228507250,309.01,23:52:09.5,-15:48:03.78,PC,,12.4154,11.295,11.219,832,furlan,0.329,77.7,1.03,2019-10-09,17115
228507250,309.01,23:52:09.5,-15:48:03.78,PC,,12.4154,11.295,11.219,562,furlan,0.328,77.6,1.27,2019-10-09,17115
228507250,309.01,23:52:09.5,-15:48:03.78,PC,,12.4154,11.295,11.219,I,ziegler,0.3266,77.9,0.9,2019-07-14,16107
228507250,309.01,23:52:09.5,-15:48:03.78,PC,,12.4154,11.295,11.219,Brgamma,ciardi,0.322,79,0.4928,2019-07-14,5025
228507250,309.01,23:52:09.5,-15:48:03.78,PC,,12.4154,11.295,11.219,Hcont,ciardi,0.319,80,0.4754,2019-07-14,5025
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,832,everett,0.169,16.366,0.54,2019-10-10,417495
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,562,everett,0.167,17.146,0.34,2019-10-10,417495
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,832,everett,0.163,196.25,0.02,2021-11-23,417249
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,562,everett,0.167,196.956,0.38,2021-11-23,417249
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,Hcont,ciardi,0.163,197.88,0.238,2021-09-20,100043
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,Brgamma,ciardi,0.17,197.1,0.238,2021-09-20,100043
420049884,462.01,02:25:06.35,01:19:24.78,PC,3.9716320148036,10.6573,9.699,9.629,I,ziegler,0.167,196.1,0.3,2019-07-16,16074
455096220,489.01,08:13:00.17,04:47:13.3,KP,13.284413409708,11.8997,11.072,11.03,I,ziegler,0.9428,139.6,4.7,2020-02-10,16697
17746821,492.01,07:52:15.23,12:08:21.65,KP,14.322939712433,11.3155,10.545,10.5,832,furlan,0.665,321.1,3.89,2020-12-05,93623
425206121,508.01,07:26:02.29,07:36:56.79,KP,18.7958,9.654,9.237001,9.196,I,ziegler,0.6466,29.3,3,2019-12-12,16169
405454160,563.01,09:32:58.36,-17:20:36.51,PC,6.5656892411892,10.4397,9.414,9.344,I,ziegler,0.3841,33.4,0.8,2019-05-19,16044
1003831,564.01,08:41:10.84,-16:02:10.78,CP,7.751406500248,10.6701,9.71,9.604,832,furlan,0.637,73.9,4.95,2020-02-18,18266
219189765,737.01,11:24:03.55,-19:33:25.05,CP,12.029949282695,14.7599,12.602,12.361,832,furlan,0.798,47.7,3.25,2020-02-16,18230
219189765,737.01,11:24:03.55,-19:33:25.05,CP,12.029949282695,14.7599,12.602,12.361,Brgamma,ciardi,0.842,46,2.615,2019-06-10,4059
219189765,737.01,11:24:03.55,-19:33:25.05,CP,12.029949282695,14.7599,12.602,12.361,Jcont,ciardi,0.845,46,2.6418,2019-06-10,4059
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7.38823,10.0716,9.532,9.441,832,furlan,0.158,71.2,3.57,2019-10-13,17195
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7.38823,10.0716,9.532,9.441,832,furlan,0.16,72.9,3.47,2020-01-14,17933
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7.38823,10.0716,9.532,9.441,I,ziegler,0.1176,59.4,3.6,2019-08-12,16120
198213332,1131.01,16:33:44.05,61:43:06,PC,4.9064079847229,9.2872,8.23,8.17,832,furlan,0.106,214,1.66,2020-02-17,18256
198213332,1131.01,16:33:44.05,61:43:06,PC,4.9064079847229,9.2872,8.23,8.17,562,furlan,0.094,214.4,1.45,2020-02-17,18256
