TOI6192.01,00:06:26.96,37:51:18.99
TOI4001.01,00:10:06.95,64:34:21.24
TOI6336.01,00:13:36.95,56:11:04.77
TOI194.01,00:20:38.53,-23:56:08.84
TOI3993.01,00:21:45.12,59:06:20.72
TOI3992.01,00:22:30.1,57:52:23.79
TOI7131.01,00:33:37.52,63:16:02.44
TOI6329.01,00:33:56.35,60:05:03.59
TOI3988.01,00:34:02.02,58:50:39.45
TOI7152.01,00:40:50.97,71:21:53.22
TOI1491.01,00:58:36.71,34:08:52.95
TOI3624.01,01:00:46.51,15:09:58.19
TOI2035.01,01:10:56.81,61:05:31.59
TOI4540.01,01:14:21.22,01:00:17.27
TOI1559.01,01:22:52.18,48:57:19.31
TOI4004.01,01:31:53.64,66:49:09.6
TOI2152.01,01:45:21.35,77:47:24.44
TOI5326.01,01:45:48.88,10:15:12.24
TOI2403.01,01:46:31.9,02:42:01.4
TOI1598.01,01:54:38.48,37:00:18.15
TOI1560.01,01:56:07.89,52:35:07.74
TOI272.01,02:07:38.2,-20:39:42.63
TOI6289.01,02:10:28.73,43:58:30.11
TOI3687.01,02:16:04.39,53:06:30.01
TOI6040.01,02:17:47.03,53:48:27.3
TOI462.01,02:25:06.35,01:19:24.78
TOI6032.01,02:27:08.32,32:52:37.04
TOI402.01,02:27:28.29,-27:38:10.02
TOI402.02,02:27:28.29,-27:38:10.02
TOI1641.01,02:40:58.94,42:52:16.49
TOI2634.01,02:44:08.77,03:54:36.84
TOI3758.01,02:45:17.67,69:06:22.53
TOI3676.01,02:47:47.07,49:24:37.57
TOI7451.01,02:53:35.88,46:10:28.42
TOI1736.01,02:53:44.27,69:06:04.84
TOI4671.01,02:54:46.95,-04:51:46.81
TOI6292.01,02:56:21.49,43:05:31.97
TOI1565.01,02:58:52.86,58:44:06.88
TOI2691.01,03:00:27.74,-21:16:08.98
TOI455.01,03:01:50.99,-16:35:40.19
TOI2430.01,03:06:14.11,-09:48:36.18
TOI4073.01,03:06:15.88,70:12:52.89
TOI3702.01,03:16:24.58,58:17:15.88
TOI2439.01,03:36:06.81,01:56:01.73
TOI1677.01,03:53:56.78,58:58:05.88
TOI3743.01,03:53:57.83,58:44:53.18
TOI457.01,03:54:54.09,-26:25:24.28
TOI3747.01,03:55:56.08,57:50:02.84
TOI952.01,04:07:07.07,-13:46:00.69
TOI2267.02,04:20:14.76,84:54:02.97
TOI2267.01,04:20:14.76,84:54:02.97
TOI2267.03,04:20:14.76,84:54:02.97
TOI3709.01,04:31:10.88,59:09:34.43
TOI2482.01,04:46:04.38,-15:20:36.35
TOI4133.01,05:00:25.1,69:49:14.66
TOI2802.01,05:22:55.48,-21:57:20.47
TOI3700.01,05:29:00.21,68:28:53.06
TOI2780.01,05:52:58.6,-16:17:10.37
TOI1443.01,19:49:35.68,76:08:21.04
TOI2292.01,20:17:03.99,65:09:13.84
TOI1288.01,20:52:40.09,65:36:31.62
TOI2255.01,21:07:34.25,74:22:59.71
TOI5755.01,21:50:44.75,70:38:47.14
TOI7690.01,21:53:25.83,65:40:48.44
TOI5953.01,22:12:06.36,26:28:28.07
TOI1389.01,22:12:31.67,31:21:52.8
TOI7337.01,22:13:25.28,67:23:39.03
TOI6125.01,22:19:35.77,12:21:23.08
TOI1417.01,22:23:18.07,35:02:05.71
TOI6162.01,22:24:20.58,34:09:31.41
TOI3944.01,22:31:08.52,61:38:34.8
TOI7094.01,22:34:32.47,53:36:39.13
TOI6650.04,22:35:13.28,54:46:24.81
TOI6650.02,22:35:13.28,54:46:24.81
TOI6650.01,22:35:13.28,54:46:24.81
TOI3618.01,22:42:03.57,52:20:37.24
TOI6150.01,22:43:58.1,22:17:20.01
TOI7112.01,22:44:02.81,49:41:14.85
TOI7160.01,22:48:12.54,47:10:13.74
TOI3926.01,22:50:31.29,61:09:34.51
TOI3936.01,22:57:17.29,59:12:04.94
TOI7119.01,22:59:31.66,54:53:17.55
TOI1482.01,23:03:58.77,52:33:45.7
TOI1544.01,23:05:23.37,46:54:11.22
TOI4542.01,23:06:22.26,-09:12:05.32
TOI6837.01,23:12:38.66,02:41:08.12
TOI6171.01,23:18:37.3,32:18:05.94
TOI7128.01,23:20:13.87,60:25:26.55
TOI1740.01,23:24:04.32,43:22:36.01
TOI5294.01,23:25:52.25,04:27:17.63
TOI7101.01,23:29:12.25,54:58:15.87
TOI4027.01,23:32:38.07,69:25:19.71
TOI3969.01,23:34:34.45,54:32:29.95
TOI4506.01,23:37:38.55,-12:50:33.11
TOI6019.01,23:40:21.92,35:56:27.02
TOI3961.01,23:42:58.67,62:17:24.45
TOI7346.01,23:43:35.38,23:18:26.18
TOI287.01,23:45:07.93,-17:26:57.35
TOI7136.01,23:51:29.58,60:55:59.77
TOI2389.01,23:51:50.95,-19:10:42.53
TOI309.01,23:52:09.5,-15:48:03.78
TOI5751.01,23:56:19.05,73:54:27.35
TOI295.01,23:56:22.05,-13:16:17.9
