Date,sunrise_UTC,sunrise_az,sunrise_el,sunrise_ra,sunrise_dec,sunrise_sidereal,sunset_UTC,sunset_az,sunset_el,sunset_ra,sunset_dec,sunset_sidereal
1999-01-01,1999-Jan-01 04:04,246.581117,-3.044498,281.17774,-23.04022,0.3933121901,1999-Jan-01 16:47,113.419109,-2.920555,281.76751,-22.99744,13.1447971976
1999-01-02,1999-Jan-02 04:05,246.700856,-3.130295,282.28171,-22.95774,0.4757366668,1999-Jan-02 16:47,113.300544,-2.991421,282.86999,-22.91098,13.2105092488
1999-01-03,1999-Jan-03 04:05,246.748376,-2.998771,283.38352,-22.8677,0.5414485002,1999-Jan-03 16:47,113.175318,-3.058558,283.97101,-22.81692,13.2762207427
1999-01-04,1999-Jan-04 04:06,246.883383,-3.081938,284.48459,-22.77,0.6238719323,1999-Jan-04 16:47,113.043496,-3.121898,285.07048,-22.7153,13.3419314338
1999-01-05,1999-Jan-05 04:06,246.946032,-2.947707,285.58329,-22.66485,0.6895822207,1999-Jan-05 16:48,112.984927,-2.964844,286.16904,-22.6061,13.4243535835
1999-01-06,1999-Jan-06 04:07,247.096279,-3.028706,286.68104,-22.55212,0.7720040101,1999-Jan-06 16:48,112.840065,-3.020159,287.26508,-22.48952,13.4900627213
1999-01-07,1999-Jan-07 04:08,247.254083,-3.108923,287.77696,-22.43195,0.854425188,1999-Jan-07 16:48,112.68884,-3.07147,288.35924,-22.36553,13.5557713863
1999-01-08,1999-Jan-08 04:08,247.339436,-2.971497,288.87021,-22.30449,0.9201337309,1999-Jan-08 16:48,112.531333,-3.118711,289.45143,-22.2342,13.6214798696
1999-01-09,1999-Jan-09 04:09,247.51239,-3.050278,289.9622,-22.16962,1.0025545186,1999-Jan-09 16:49,112.447531,-2.94442,290.54231,-22.0955,13.7039007244
1999-01-10,1999-Jan-10 04:10,247.692844,-3.128668,291.05206,-22.02749,1.0849754843,1999-Jan-10 16:49,112.277694,-2.983055,291.63025,-21.94968,13.7696095672
1999-01-11,1999-Jan-11 04:10,247.800697,-2.989088,292.13894,-21.87828,1.1506845233,1999-Jan-11 16:49,112.101855,-3.017417,292.71591,-21.79671,13.8353188608
1999-01-12,1999-Jan-12 04:11,247.996143,-3.066799,293.22425,-21.72185,1.2331063691,1999-Jan-12 16:49,111.92011,-3.047446,293.7992,-21.63667,13.9010287076
1999-01-13,1999-Jan-13 04:11,248.11875,-2.92631,294.30639,-21.5585,1.2988164855,1999-Jan-13 16:49,111.732559,-3.07308,294.88002,-21.46965,13.9667391112
1999-01-14,1999-Jan-14 04:12,248.329042,-3.003841,295.38676,-21.38806,1.3812394276,1999-Jan-14 16:49,111.539306,-3.094263,295.95827,-21.29571,14.0324499901
1999-01-15,1999-Jan-15 04:13,248.54666,-3.081633,296.46451,-21.21075,1.4636627852,1999-Jan-15 16:49,111.340457,-3.110937,297.03386,-21.11494,14.0981612
1999-01-16,1999-Jan-16 04:13,248.691202,-2.940754,297.5388,-21.02677,1.5293740784,1999-Jan-16 16:49,111.136118,-3.123047,298.10668,-20.92743,14.1638725159
1999-01-17,1999-Jan-17 04:14,248.923395,-3.019122,298.61103,-20.83596,1.6117976481,1999-Jan-17 16:49,110.926403,-3.130541,299.17665,-20.73328,14.2295836596
1999-01-18,1999-Jan-18 04:15,249.162766,-3.098139,299.68036,-20.63853,1.694220905,1999-Jan-18 16:49,110.711422,-3.133365,300.24367,-20.53255,14.29529434
1999-01-19,1999-Jan-19 04:15,249.328785,-2.957932,300.74596,-20.43471,1.7599312806,1999-Jan-19 16:49,110.491289,-3.131473,301.30767,-20.32537,14.3610043401
1999-01-20,1999-Jan-20 04:16,249.582403,-3.038263,301.80922,-20.22433,1.8423532175,1999-Jan-20 16:49,110.266119,-3.12482,302.36855,-20.1118,14.4267135812
1999-01-21,1999-Jan-21 04:17,249.843024,-3.119612,302.86934,-20.0076,1.9247744105,1999-Jan-21 16:49,110.036027,-3.113364,303.42625,-19.89196,14.4924221404
1999-01-22,1999-Jan-22 04:17,250.029982,-2.981093,303.92551,-19.7848,1.9904827284,1999-Jan-22 16:49,109.801126,-3.097072,304.48072,-19.66594,14.5581302871
1999-01-23,1999-Jan-23 04:18,250.304464,-3.064434,304.97914,-19.5557,2.0729031066,1999-Jan-23 16:49,109.561532,-3.075917,305.53189,-19.43384,14.6238384
1999-01-24,1999-Jan-24 04:18,250.504958,-2.927457,306.02872,-19.32072,2.1386113471,1999-Jan-24 16:49,109.317359,-3.049879,306.57972,-19.19576,14.6895468818
1999-01-25,1999-Jan-25 04:19,250.792999,-3.013181,307.07569,-19.07965,2.2210324307,1999-Jan-25 16:49,109.068722,-3.018948,307.62419,-18.95181,14.7552560678
1999-01-26,1999-Jan-26 04:20,251.087668,-3.100423,308.11926,-18.83274,2.3034543214,1999-Jan-26 16:49,108.815733,-2.983121,308.66527,-18.70209,14.8209661115
1999-01-27,1999-Jan-27 04:20,251.307968,-2.966523,309.15871,-18.5803,2.3691647625,1999-Jan-27 16:49,108.558505,-2.942405,309.70294,-18.44671,14.8866769325
1999-01-28,1999-Jan-28 04:21,251.615669,-3.056621,310.19546,-18.32206,2.4515881622,1999-Jan-28 16:48,108.216407,-3.120189,310.73646,-18.18597,14.9356759368
1999-01-29,1999-Jan-29 04:21,251.848634,-2.925004,311.22806,-18.05851,2.5172995508,1999-Jan-29 16:48,107.950915,-3.070089,311.76727,-17.91961,15.0013872996
1999-01-30,1999-Jan-30 04:22,252.168976,-3.018194,312.25794,-17.78937,2.5997230821,1999-Jan-30 16:48,107.681503,-3.015164,312.79464,-17.64791,15.0670982866
1999-01-31,1999-Jan-31 04:23,252.495463,-3.113204,313.28438,-17.51495,2.6821460608,1999-Jan-31 16:48,107.408274,-2.955445,313.81859,-17.37099,15.1328085745
1999-02-01,1999-Feb-01 04:23,252.746786,-2.985515,314.30668,-17.23555,2.7478559492,1999-Feb-01 16:47,107.050355,-3.11581,314.83841,-17.08915,15.1818057263
1999-02-02,1999-Feb-02 04:24,253.0853,-3.083873,315.32628,-16.95088,2.8302773,1999-Feb-02 16:47,106.769662,-3.046955,315.85555,-16.80211,15.2475143904
